Arabic,English
يكون,is
على,on
الذي - التي,that
بواسطة,by
هذا,this
مع,with
أنا,I
أنت,you
لا,not
أو,or
يكون,be
نكون,are
من,from
في,at
مثل,as
لك,your
الجميع,all
يملك,have
جديد,new
أكثر,more
كان,was
نحن,we
سوف,will
بيت,home
يستطيع,can
نحن,us
عن,about
لو,if
صفحة,page
لي,my
لديه,has
يبحث,search
حر,free
لكن,but
ملكنا,our
واحد,one
آخر,other
يفعل,do
لا,no
معلومة,information
وقت,time
هم,they
موقع,site
هو,he
أعلى,up
يمكن,may
ماذا,what
أيّ,which
هُم,their
أخبار,news
خارج,out
يستخدم,use
أي,any
هناك,there
يرى,see
فقط,only
لذا,so
له,his
متى,when
اتصال,contact
هنا,here
عمل,business
من,who
شبكة الإنترنت,web
أيضًا,also
الآن,now
يساعد,help
يحصل,get
مساءً,pm
منظر,view
متصل,online
أولاً,first
أكون,am
كان,been
كان,would
كيف,how
كان,were
أنا,me
س,s
خدمات,services
بعض,some
هؤلاء,these
انقر,click
إنه,its
يحب,like
خدمة,service
من,than
يجد,find
سعر,price
تاريخ,date
خلف,back
قمة,top
الناس,people
ملك,had
قائمة,list
اسم,name
فقط,just
زيادة,over
ولاية,state
سنة,year
يوم,day
داخل,into
بريد إلكتروني,email
اثنين,two
صحة,health
ن,n
عالم,world
يكرر,re
التالي,next
مستخدم,used
يذهب,go
عمل,work
آخر,last
معظم,most
منتجات,products
موسيقى,music
يشتري,buy
بيانات,data
يصنع,make
هم,them
يجب,should
منتج,product
نظام,system
بريد,post
ها,her
مدينة,city
يضيف,add
سياسة,policy
رقم,number
هذه,such
لو سمحت,please
متاح,available
حقوق الطبع والنشر,copyright
يدعم,support
رسالة,message
بعد,after
أفضل,best
برمجة,software
ثم,then
يناير,jan
جيد,good
فيديو,video
حسنًا,well
أين,where
معلومات,info
حقوق,rights
عام,public
كتب,books
عالي,high
مدرسة,school
خلال,through
م,m
كل,each
روابط,links
هي,she
مراجعة,review
سنين,years
طلب,order
جداً,very
خصوصية,privacy
كتاب,book
أغراض,items
شركة,company
يقرأ,read
مجموعة,group
الجنس,sex
يحتاج,need
كثير,many
مستخدم,user
قال,said
دي,de
يفعل,does
تعيين,set
تحت,under
عام,general
بحث,research
جامعة,university
يناير,january
بريد,mail
ممتلىء,full
رسم خريطة,map
المراجعات,reviews
برنامج,program
حياة,life
يعرف,know
ألعاب,games
طريق,way
أيام,days
إدارة,management
جزء,part
استطاع,could
عظيم,great
متحد,united
الفندق,hotel
حقيقي,real
غرض,item
دولي,international
مركز,center
إيباي,ebay
يجب,must
محل,store
يسافر,travel
تعليقات,comments
صنع,made
تطوير,development
تقرير,report
عن,off
عضو,member
تفاصيل,details
خط,line
شروط,terms
قبل,before
الفنادق,hotels
فعل,did
يرسل,send
يمين,right
يكتب,type
لأن,because
محلي,local
أولئك,those
استخدام,using
نتائج,results
مكتب,office
تعليم,education
وطني,national
سيارة,car
تصميم,design
يأخذ,take
تم نشره,posted
إنترنت,internet
عنوان,address
مجتمع,community
داخل,within
الولايات,states
منطقة,area
يريد,want
هاتف,phone
شحن,shipping
محجوز,reserved
موضوع,subject
بين,between
المنتدى,forum
عائلة,family
طويل,long
قائم على,based
شفرة,code
يعرض,show
حتى,even
أسود,black
يفحص,check
خاص,special
الأسعار,prices
موقع إلكتروني,website
فِهرِس,index
كون,being
نحيف,women
كثيراً,much
لافتة,sign
ملف,file
وصلة,link
يفتح,open
اليوم,today
تكنولوجيا,technology
جنوب,south
قضية,case
مشروع,project
نفس,same
الصفحات,pages
المملكة المتحدة,uk
إصدار,version
قسم,section
ملك,own
وجد,found
الرياضة,sports
منزل,house
متعلق ب,related
حماية,security
كلاهما,both
مقاطعة,county
أمريكي,american
صورة,photo
لعبة,game
أعضاء,members
قوة,power
بينما,while
الرعاية,care
شبكة,network
تحت,down
حاسوب,computer
الأنظمة,systems
ثلاثة,three
المجموع,total
مكان,place
نهاية,end
التالي,following
تحميل,download
له,him
بدون,without
لكل,per
وصول,access
يفكر,think
شمال,north
موارد,resources
حاضِر,current
دعامات,posts
كبير,big
وسائط,media
قانون,law
يتحكم,control
ماء,water
تاريخ,history
صور,pictures
مقاس,size
فن,art
شخصي,personal
منذ,since
مشتمل,including
مرشد,guide
محل,shop
دليل,directory
سبورة,board
موقع,location
يتغير,change
أبيض,white
نص,text
صغير,small
تصنيف,rating
معدل,rate
حكومة,government
أطفال,children
خلال,during
الولايات المتحدة الأمريكية,usa
يعود,return
طلاب,students
التسوق,shopping
حساب,account
الأوقات,times
المواقع,sites
مستوى,level
رقمي,digital
حساب تعريفي,profile
سابق,previous
استمارة,form
الأحداث,events
حب,love
قديم,old
جون,john
رئيسي,main
يتصل,call
ساعات,hours
صورة,image
قسم,department
عنوان,title
وصف,description
غير,non
تأمين,insurance
آخر,another
لماذا,why
سوف,shall
ملكية,property
فصل,class
قرص مضغوط,cd
ما زال,still
مال,money
جودة,quality
كل,every
قائمة,listing
محتوى,content
دولة,country
خاص,private
قليل,little
يزور,visit
يحفظ,save
أدوات,tools
قليل,low
رد,reply
عميل,customer
ديسمبر,december
يقارن,compare
أفلام,movies
يشمل,include
كلية,college
قيمة,value
شرط,article
يورك,york
رجل,man
بطاقة,card
وظائف,jobs
يمد,provide
طعام,food
مصدر,source
مؤلف,author
مختلف,different
يضعط,press
يتعلم,learn
أُوكَازيُون,sale
حول,around
مطبعة,print
دورة,course
وظيفة,job
كندا,canada
عملية,process
مراهق,teen
غرفة,room
مخزون,stock
تمرين,training
أيضاً,too
ائتمان,credit
نقطة,point
ينضم,join
علوم,science
الرجال,men
فئات,categories
متقدم,advanced
الغرب,west
مبيعات,sales
ينظر,look
إنجليزي,english
غادر,left
فريق,team
العقار,estate
صندوق,box
شروط,conditions
يختار,select
النوافذ,windows
الصور,photos
مثلي الجنس,gay
خيط,thread
أسبوع,week
فئة,category
ملحوظة,note
يعيش,live
كبير,large
معرض,gallery
طاولة,table
يسجل,register
لكن,however
يونيو,june
أكتوبر,october
نوفمبر,november
سوق,market
مكتبة,library
حقًا,really
فعل,action
يبدأ,start
مسلسل,series
نموذج,model
سمات,features
هواء,air
صناعة,industry
يخطط,plan
بشر,human
متاح,provided
تلفزيون,tv
نعم,yes
مطلوب,required
ثانية,second
حار,hot
مُكَمِّلات,accessories
يكلف,cost
فيلم,movie
المنتديات,forums
يمشي,march
سبتمبر,september
أحسن,better
يقول,say
أسئلة,questions
يوليو,july
ياهو,yahoo
ذاهب,going
طبي,medical
امتحان,test
صديق,friend
يأتي,come
ديسمبر,dec
الخادم,server
جهاز كمبيوتر شخصي,pc
يذاكر,study
طلب,application
عربة,cart
طاقم عمل,staff
المقالات,articles
سان,san
تعليق,feedback
مرة أخرى,again
يلعب,play
أبحث,looking
مشاكل,issues
أبريل,april
أبداً,never
المستخدمين,users
مكتمل,complete
شارع,street
عنوان,topic
تعليق,comment
مالي,financial
أشياء,things
عمل,working
ضد,against
معيار,standard
ضريبة,tax
شخص,person
أقل,below
متحرك,mobile
أقل,less
يملك,got
مدونة,blog
حزب,party
قسط,payment
معدات,equipment
تسجيل الدخول,login
طالب,student
يترك,let
البرامج,programs
العروض,offers
قانوني,legal
فوق,above
مؤخرًا,recent
حديقة,park
المتاجر,stores
جانب,side
يمثل,act
مشكلة,problem
أحمر,red
يعطي,give
ذاكرة,memory
أداء,performance
اجتماعي,social
أغسطس,august
يقتبس,quote
لغة,language
قصة,story
يبيع,sell
خيارات,options
خبرة,experience
المعدلات,rates
يخلق,create
مفتاح,key
جسم,body
شاب,young
أمريكا,america
مهم,important
مجال,field
عدد قليل,few
شرق,east
ورق,paper
أعزب,single
عمر,age
أنشطة,activities
النادي,club
مثال,example
فتيات,girls
إضافي,additional
كلمة المرور,password
أحدث,latest
شئ ما,something
طريق,road
هدية,gift
سؤال,question
التغييرات,changes
ليلة,night
كاليفورنيا,ca
صعب,hard
تكساس,texas
أكتوبر,oct
يدفع,pay
أربعة,four
بوكر,poker
حالة,status
تصفح,browse
مشكلة,issue
يتراوح,range
مبنى,building
بائع,seller
محكمة,court
فبراير,february
دائماً,always
نتيجة,result
صوتي,audio
ضوء,light
يكتب,write
حرب,war
نوفمبر,nov
يعرض,offer
أزرق,blue
مجموعات,groups
سهل,easy
منح,given
الملفات,files
حدث,event
يطلق,release
تحليل,analysis
طلب,request
فاكس,fax
الصين,china
تحضير,making
صورة,picture
احتياجات,needs
ممكن,possible
قد,might
احترافي,professional
حتى الآن,yet
شهر,month
رئيسي,major
نجم,star
المناطق,areas
مستقبل,future
فضاء,space
لجنة,committee
يُسلِّم,hand
شمس,sun
بطاقات,cards
مشاكل,problems
لندن,london
واشنطن,washington
مقابلة,meeting
يصبح,become
اهتمام,interest
بطاقة تعريف,id
طفل,child
يحفظ,keep
يدخل,enter
كاليفورنيا,california
إباحية,porn
يشارك,share
مشابه,similar
حديقة,garden
المدارس,schools
مليون,million
تمت الإضافة,added
مرجع,reference
شركات,companies
مدرج,listed
طفل,baby
تعلُّم,learning
طاقة,energy
يجري,run
توصيل,delivery
شبكة,net
شائع,popular
شرط,term
فيلم,film
قصص,stories
يضع,put
أجهزة الكمبيوتر,computers
مجلة,journal
التقارير,reports
يحاول,try
مرحباً,welcome
مركزي,central
الصور,images
رئيس,president
يلاحظ,notice
إله,god
إبداعي,original
رأس,head
راديو,radio
حتى,until
خلية,cell
لون,color
الذات,self
مجلس,council
بعيد,away
يشمل,includes
مسار,track
أستراليا,australia
مناقشة,discussion
أرشيف,archive
مرة واحدة,once
آحرون,others
ترفيه,entertainment
اتفاق,agreement
شكل,format
الأقل,least
مجتمع,society
شهور,months
سجل,log
أمان,safety
أصدقاء,friends
بالتأكيد,sure
التعليمات,faq
تجارة,trade
طبعة,edition
سيارات,cars
رسائل,messages
تسويق,marketing
يخبر,tell
إضافي,further
تم التحديث,updated
منظمة,association
قادر,able
وجود,having
يوفر,provides
ديفيد,david
هزار,fun
بالفعل,already
أخضر,green
دراسات,studies
يغلق,close
شائع,common
يقود,drive
محدد,specific
عديد,several
ذهب,gold
فبراير,feb
معيشة,living
سبتمبر,sep
مجموعة,collection
مُسَمًّى,called
قصير,short
الفنون,arts
كثير,lot
بسأل,ask
عرض,display
